,GeoUID,Type,Region Name,Area (sq km),Population,Dwellings,Households,CSD_UID,CD_UID,CT_UID,CMA_UID,v_CA21_4237: Total - Private households by tenure,v_CA21_4238: Owner,v_CA21_4239: Renter,,"v_CA21_4313: Total - Tenant households in non-farm, non-reserve private dwellings",v_CA21_4315: % of tenant households spending 30% or more of its income on shelter costs (55),,v_CA21_4317: Median monthly shelter costs for rented dwellings ($) (59),,v_CA21_4318: Average monthly shelter costs for rented dwellings ($) (59)
1,35300027,DA,35300027,0.362,746,312,302,3530016,3530,5410109.05,35541,305,290,15,,0,NA,,NA,,NA
2,35300028,DA,35300028,0.3523,647,253,249,3530016,3530,5410109.05,35541,255,250,10,,0,NA,,NA,,NA
3,35300029,DA,35300029,0.1252,319,115,114,3530016,3530,5410109.05,35541,110,110,0,,0,NA,,NA,,NA
4,35300030,DA,35300030,0.3125,500,166,163,3530016,3530,5410109.05,35541,170,160,10,,0,NA,,NA,,NA
5,35300031,DA,35300031,0.1144,253,81,81,3530016,3530,5410109.05,35541,90,80,0,,0,NA,,NA,,NA
6,35300032,DA,35300032,0.6114,1461,561,544,3530016,3530,5410109.05,35541,525,485,45,,45,0,,1420,,1400
7,35300033,DA,35300033,0.1112,268,87,87,3530016,3530,5410109.05,35541,90,80,0,,0,NA,,NA,,NA
8,35300034,DA,35300034,0.2453,788,372,343,3530016,3530,5410101.01,35541,365,185,180,,180,28.6,,1430,,1320
9,35300035,DA,35300035,0.7226,1348,497,485,3530016,3530,5410101.04,35541,500,475,25,,20,0,,NA,,1200
10,35300036,DA,35300036,0.204,519,197,193,3530016,3530,5410101.04,35541,205,180,25,,25,0,,NA,,1800
11,35300037,DA,35300037,0.1841,427,230,198,3530016,3530,5410101.04,35541,220,90,135,,130,73.1,,1740,,1800
12,35300038,DA,35300038,0.2626,569,189,181,3530016,3530,5410101.04,35541,185,175,0,,0,NA,,NA,,NA
13,35300039,DA,35300039,0.1417,412,144,141,3530016,3530,5410101.04,35541,130,120,15,,0,NA,,NA,,NA
14,35300040,DA,35300040,3.8044,1099,57,52,3530016,3530,5410101.02,35541,50,40,10,,0,NA,,NA,,NA
15,35300041,DA,35300041,0.1634,445,181,177,3530016,3530,5410101.03,35541,175,160,20,,15,0,,NA,,2000
16,35300042,DA,35300042,0.1464,416,173,164,3530016,3530,5410101.03,35541,170,145,30,,30,0,,NA,,1500
17,35300043,DA,35300043,0.271,460,175,170,3530016,3530,5410101.03,35541,180,140,40,,40,0,,1310,,1500
18,35300044,DA,35300044,0.1571,470,204,200,3530016,3530,5410101.03,35541,205,195,10,,0,NA,,NA,,NA
19,35300045,DA,35300045,0.1068,334,132,130,3530016,3530,5410109.01,35541,125,120,0,,0,NA,,NA,,NA
20,35300046,DA,35300046,0.119,526,199,198,3530016,3530,5410109.01,35541,205,175,35,,30,0,,NA,,1800
21,35300047,DA,35300047,0.2375,541,208,205,3530016,3530,5410109.01,35541,195,190,0,,0,NA,,NA,,NA
22,35300048,DA,35300048,0.1447,465,176,176,3530016,3530,5410109.01,35541,165,145,20,,20,0,,NA,,1200
23,35300049,DA,35300049,0.1716,656,239,237,3530016,3530,5410109.01,35541,240,240,0,,0,NA,,NA,,NA
24,35300050,DA,35300050,0.3402,609,244,242,3530016,3530,5410109.01,35541,245,225,15,,0,NA,,NA,,NA
25,35300051,DA,35300051,0.1681,481,178,176,3530016,3530,5410109.01,35541,175,175,0,,0,NA,,NA,,NA
26,35300052,DA,35300052,0.2315,785,297,293,3530016,3530,5410109.01,35541,300,270,40,,35,0,,1580,,1500
